Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,15.621mm,31.496mm,15.621mm,31.496mm,15.621mm,30.471mm,T,90,22pF
C11,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,8.255mm,10.541mm,8.255mm,10.541mm,8.255mm,11.566mm,T,270,1uF
C12,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,5.715mm,10.541mm,5.715mm,10.541mm,5.715mm,9.516mm,T,90,1uF
C2,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,6.858mm,31.496mm,6.858mm,31.496mm,6.858mm,30.471mm,T,90,22pF
C3,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3.81mm,37.211mm,3.81mm,37.211mm,2.785mm,37.211mm,T,0,1uF
C4,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,15.748mm,10.541mm,15.748mm,10.541mm,15.748mm,11.566mm,T,270,100nF
C5,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,18.034mm,10.541mm,18.034mm,10.541mm,18.034mm,11.566mm,T,270,100nF
C6,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,13.462mm,10.541mm,13.462mm,10.541mm,13.462mm,11.566mm,T,270,100nF
C7,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,11.176mm,10.541mm,11.176mm,10.541mm,11.176mm,11.566mm,T,270,10uF
D6,SOT-143,18.796mm,31.242mm,18.796mm,31.242mm,18.026mm,30.142mm,T,90,PRTR5V0U2X
F1,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,14.605mm,6.096mm,14.605mm,6.096mm,13.1175mm,6.096mm,T,0,MF-NSMF050-2
IC2,SOT95P280X130-3N,7.62mm,5.937mm,7.62mm,5.937mm,6.22mm,6.887mm,T,0,XC6206P332MR
R1,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3.81mm,42.291mm,3.81mm,42.291mm,4.835mm,42.291mm,T,180,5.1K
R11,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3.81mm,29.718mm,3.81mm,29.718mm,4.835mm,29.718mm,T,180,1.5K
R12,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,18.669mm,34.798mm,18.669mm,34.798mm,17.644mm,34.798mm,T,0,1.5K
R13,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3.81mm,34.798mm,3.81mm,34.798mm,4.835mm,34.798mm,T,180,1.5K
R2,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,18.542mm,42.291mm,18.542mm,42.291mm,17.517mm,42.291mm,T,0,5.1K
R3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,18.542mm,39.878mm,18.542mm,39.878mm,17.517mm,39.878mm,T,0,22
R4,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,18.669mm,37.338mm,18.669mm,37.338mm,19.694mm,37.338mm,T,180,22
R5,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3.81mm,32.258mm,3.81mm,32.258mm,2.785mm,32.258mm,T,0,10K
R6,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3.81mm,39.751mm,3.81mm,39.751mm,4.835mm,39.751mm,T,180,1K
U1,TQFP-44_10x10mm_P0.8mm,11.303mm,20.701mm,11.303mm,20.701mm,17.003mm,16.701mm,T,180,ATmega32U4-AU
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,11.25mm,31.376mm,11.25mm,31.376mm,9.8mm,30.226mm,T,0,Crystal_GND24
RESET1,SW_SPST_CK_RS282G05A3,11.176mm,31.242mm,11.176mm,31.242mm,7.276mm,31.242mm,B,0,SW_SPST
nrf1,E73-nrf51822-Module,9.398mm,25.908mm,9.398mm,25.908mm,2.54mm,10.16mm,B,0,E73-nrf51822
Through Hole Items 
USB1,HRO-TYPE-C-f14,11.176mm,46.228mm,11.176mm,46.228mm,7.976mm,37.078mm,B,0,HRO-TYPE-C-31-M-12
